Ciphertext,Algorithm
4113-55.4453.34.21.51-21-2123-45-321452.5324-1513214515-22- 33.25.43-5135-4135-34-1254-44.23-1453-42.43-32.12-45-4244. 5232-45-33-32.45-5242-5361 354345.2423- 45-12-35.5155.22-2124.11.15.22.1155.34.12-51-5124.25.43-31.15.5515-33-25-25.12-24.25-21.24-61.23.,POLLUX
IULPDHTAJJZHGMIVGIUHRZABMMEBNUKQXDCPUCWSLZBOOEFFGNBWBLVSESSXSMCXJMQTKOZQNXGTIIYQXSXZCRZQDCNYWYLPVKQBBEQ DD VAGRUGGHSZGFOLDCJPHNQZOSA,PROGRESSIVE_KEY
53.35-24-61. 35.61-21-1252-34.3555.2323.51-32.32.14-55.21.61-3343.32-4541.41-5553.3435-24.61-44.3151-52-6123- 34.22.4543 14-4454.23.24.54-31.21-61.53. 15-61-23-5112-43-3112-24-32.21-42.22-51.11.35-255111.1522.41.51.321133.54-12-143151-355435,POLLUX
 ZMMRMXSBOFWCDHXVQRFKAJLEJSKXJWQJPMLIIXQHGYYNJMUYLEVLNNPPHZ QZHNCZMBGYL WFAQFQH YYYYVFOBEKBRKQAFQAHBWCZGKEAFIF,PROGRESSIVE_KEY
1243-42.13-5351.31-33.54-1213252515-42.52.12.34.35.55.22.1533-3252453152231354.2315.413154.44-254124-11.35 34.54.45-53-41.41.51.51-13.44-43.53.2352.23.55.4245-51.12-61-41.31-53.2154-61.34.31.51-3131-245324-4242.53-13-1352-2315.43-23-35-43-1443.5161.35,POLLUX
CBCSUUDIQMBLWOWI CNDBRDVPNMOCSRJXDVEZKJZXVQQARDRRFYYKKNXGG EEFASMJC IXBHYUZLZEKXIODGQAYPWVCUIFTNQQOZBX XCYZDYFDLIMTRM,PROGRESSIVE_KEY
42.1351-1531-25.23-11.15-22 236111324351-55-33.34.24.52.2422-53-1153-5414-32-13.441433-13.31-45.5433.2431.23.41.34-43-31.2441-3551.34.4412.221514-52.51-353154-13-144213-2143.1534-3222. 4431.42- 1214-536134.23.,POLLUX
LORIECFVOTSR GAHBQWSULXMBGBAZHFSMJWHOECJCLLKOLSMNIJMUN OCOTQKXROXMIUCVXAJFDYJNZKRMGLGHHDOMPENIVXVIGMY EGIKNPIILXACSZTI,PROGRESSIVE_KEY
51.61-51-52.51- 43-41532151.33.3443-51-12.5133-45.45-33-31-21.13.533561-53.53-55-1354-3444.21525514-515251-51-45.2112.234533-311423-35 61.4314-34.23-341225344441.31- 15-44.53-33.55. 53.55- 52.21.34-44-54- 52-33.43.14-61.4131.22.41-1533.45-55.5333.44-524313-,POLLUX
DUAOTPMKGVD RHPSBMEWWQSAYFXKPCQHFKHIVWJTWUVGTU LVEBKZUSMLWCWKAEH KBNNWUCNMZCNWVISEEIYVZFYEMTPIPZGLWEGQ RVTQCDG MSOO IICEIGSVHQGNHUXMJ,PROGRESSIVE_KEY
2244.54-21.4225-22.45-14.51.32- 32.12.61.54-33.221334. 12.45.21.223311-35-51-24.23.232561.44.42-14-44.35. 54-12- 3411-5431-5261.1442-12.4322115443.34.34-41-25.3452-42-52-61-1113-4254 2455.11.5221.155124-44-35-33-31.422232.51 43-41.15-44-5352.  ,POLLUX
BQGEPWOLHQZAXHXAQWCEBH NSENYDNJFBOFVVXPLYSMMPVUDRCIUMGZPXDWFJBOSKPXOHF DUBAZIXVVNCUJUNADREAJDDJJRLALBPKGHBEA,PROGRESSIVE_KEY
24.4551.61.15.2311-14-34-31-13.32-44 44.15-22.43.44.31-41.44-25.32.12-3412.33.42- 43-52-23-4154.41-41-54-33.351243-35.43-33-41-43-35-51.45-61.35.15- 35.2345-25-53.14-24-33-14-22.44-33.34-4144.25.43-13-61-45-15.2342-5323.14-2554-22-,POLLUX
ZEKTZWTFR VRPHXTXNXQZNQKLDPLXHUTYGIFQIFJQFOLLLSXUV JPUGODZOLGOYNECAPZUWZYHGUHCUXXPTENPKJW TXIQHSEQEHHG,PROGRESSIVE_KEY
12-35.2513-11-31.52-61.61.2225-21.3455.5135.35-1443-22-5355435132.44-45.61.35-21-31.22-44.15-14-33-11.13.13-544552-51.532345.45.24.41-53-52-31.1423- 42. 14-25-21-13.1361.11-34.154154-12-32-53-4233.2245532351-15-13.35.2415-454222.43-53.54,POLLUX
FNKVDBLFQIDC OKSUZHHMPSUI KXDAGZBQIDWIMDQKLRQHGMWOUIMOMQ WVDEBLF VMRCICHUAVDSLOLJKMKOLIUYKCLEBLASXPHQQRAOBUGGJEJAHEGRZHEHM,PROGRESSIVE_KEY
43.54 2543.54-3445.251512.44-22-44.52-145214-124541 25 31-1131.51-45.45- 532122.4254-426134.12-1254.14-61.45-14-3143-11.34.22.132424-144152-13.32-2411-315554.44-15.6155-3535-34.54.32.521534-4531.51-61-55-2233-,POLLUX
XURGPZDSVYMQMYINNWWIYZAUHGHUXD LAFCURIFUPSFBVYYNEPIDMWQDHXXTQTWVWUGWFYLCCXWLXRNQPIKQIXAZFJBPZT YJUWSZYVGJZJPRLCLFLOYPBQDOXWQDCVGDAJVTP PKXUTTXCK,PROGRESSIVE_KEY
42-32.45.11.31-3435.13- 241542.53-23.32-3545.24112533.125421.51.2152-3124.44.25-45-43-2251.33-31-34.53.25-34-3315-53-12-53.24-51-51.45.43.22.1225411115.25-32.5461.32.542445.34-3155.1515-22-44-44-3133-11-51-1551.52-1524-15.1441.2251-12.2341-3552.,POLLUX
ACRACAHSUXPJHWGHNSGQFUWUUBNFNWFFXPJVVJHZEUOQKNKSRJACCYYAPKJMCJDVXWPJYRXWMADXKUNFHMIYERXQDSIRRUNNDIIXXASWRIYXG,PROGRESSIVE_KEY
32.44-1435.42- 51.33-21-23.53.25-52.45-523112.5312-5341.13-543551.23-33-5254-4234.11.23-14.53.6145.2332-4243-22-25-413211-3324.33.15-611243-33-61-35-442144-51.42.44.33-11-3543.5424. 52.5515-22-1114-31-13-41-32-14,POLLUX
XHQYJVIPKZMASEUDOOGVXKGEQEJ UVIBJWCRLLZRS  YMOPQTVCFNVCLYNIQVTBR YQZIUMNY TPVMZPUNYH HCMIVRHYHODXRYMBMBEGHKDKATCUUKLNFWBEWNMMQSWWJDFLEVLRXSBNP,PROGRESSIVE_KEY
2445-15-24-2353.12.1252.53.55.21.5544.14-1525-35-24-54.4161-24-24.3411.14.14.5342-24-54-15-25-35.1152332525.23.13-43.52.21-4421-33.14.2224-15.42-34.1231.4221-13.43-13-51.4134-42-41-54. 51-25.23.2123-41.4224-45-5312.15.52.55-3223-5334-3414.,POLLUX
 VPVDELFJSZWARIV VBSLIHGWMKIVTDB CRLXPVMBUCSRVEKRYINRSSRDLVMOXHGSCVMUVGURUPQAOKXHEG TAFCFWGKJMENBTTXFX,PROGRESSIVE_KEY
5113-2242-15322252.2542.52.12.34-5261-44-21-25-4155.61.5321-43.1252.43-2453-4542-5322-15-51-4525.31-35-3354.546155. 45-3123-41-24-34.42.4544 454511.351545.25.1152.21-245512-52.15.5225.334313.25-54-6112-43.45-51333311,POLLUX
HSDQRVN TCCMKKSASIQZBGEIGZEJERZUUNOGV RFHPXKFTQRWDBYXIFZBVOVOGPTIYL HLNKDOJOBATDHJCFLKTR EZYXVNH DWLLJBSJBSFFMQVL XRKBQLXMSVAOLQAYVK,PROGRESSIVE_KEY
555345.52.3333.443321.61. 44.15-52-42-35-12-53-2511.13- 15-55.25.42.35-21.25.13- 54-14.3113-42.214352.44.32.51.25.45-5535-24.14.35.45125445.5142-44-52.241412-14.43-3324.45-22153513-4452-51-32.2555 34-45-43.23.52  54-51.45-43-3214.54.15.335441.343414,POLLUX
IKRMFDSIUQGUNHPVYYTUTQDIZVTRRNNPSEJJQDYZCBMCENAYBXMAQJWCXLBDOEPMHOUQQMVMWCOSYLNHLKWRZXFGCDSQEJGVSDROJ EBIUZKAYRNG PKHZM IAIXYBQYGPIEDKVBABEZXEH,PROGRESSIVE_KEY
32-43.415354.51.144323-613232.14.5533.332554-33-34.22.122321-52.22-43-53.45-55.53.43.2131-51.3244-12-31.13-4253.1245-12.15.5551-52-123145-31-32-2254-21.32.43.4425.3453-43-5223-15-43.61-34.42.52-424535.54.341335-43.13.155444.14-22-35-34.4451-1245-22-,POLLUX
ZNODFTYTKAMELFL NAWQHHWMPQMLNSJHIKHIA BKGDFGDXFLZASOPVMMOBFEFMSSP NDZSM PUIFZTDKGNHBUUNRUOKHMJBQOESFKVHCRWRTDQOJZSFIWYAPOK,PROGRESSIVE_KEY
24.54.35-23-5253-3112.45.54-12-42-421161- 41- 5555-33.35-34.55.51-12-44-44-2142-34-1231-1155.14-3255-23.13.11-44 45-53-31.254123-12-54-42.34.53.2553-51-4243-2433.23.55-24 34.44.33235235 13-13-15-34.5453.32-31.4213.1532 441124.53.52-515255-61.,POLLUX
UQOPKOJTJZPWSQNRIIUCC MY   IGDPPXUTONNTKABTECYZTCFFGIOAIXNYVYKIOAQEKXKYZXXWGF  DKGZRPDBHCROFOLRTDYMLUJCIBIOSRSTPNXRXYZGLHQAHEFBHSXSBIMSJUA,PROGRESSIVE_KEY
34.2242-15-1531.25.42-13-12-51-35132322.1451.52-35.55-5322.54-55321114.5355-4124.3212-35.45.5343.35-13-55-35-2552-25-2423.42-135461.21- 5352-411544325142-61.4225.21-31.53.4114-43. 5345-55-332254-21.5254.42-4112.43-4411-44.321255.3423.52-51-3535-,POLLUX
GUOJIUCMILBSZHHBXANAESPGW BRIQCWQQPOBTTTRMCMUCZIUELZNVELKHBXOOODEDOBZVBEZOONKCRUPCBWPJYRJWDEUEYIGGAMZFVCKB PNNEAELNQZBS,PROGRESSIVE_KEY
32-42. 14.13.54.22234545.14454235.43.52-115111-51.34-23-34.21.34-23-3133.41.53512535131215-23.12.43.1523-12.54-35-51-12-24-54.1351-15-2242.53-44-425545-34-14.5234-254361.41-322224.11.22-42-23-42-35414135. 24-212361-34-54. ,POLLUX
TBQOTCNFS PDEQCBKPTJMOVKPFHVEQABOFPZHUDKSRDEGVEMDXNOKEXSGJEFZOZTBQMVZWFZHLISLHURFRPZBKWAJ FHXJQHDJQQLNECQKRQHK,PROGRESSIVE_KEY
15-13.5211-2525-54.5451.5453.52.54.11.43453545-33-21.52.42 4255.25-23.15.13.556121.44-32-61.44.41-2243.43-1131.25.12-21-3342-233125-15-51.52-1552.5355-511143.2331-613525.2545-11-4213-513445.153134-2542.31.4451-33.51.21-15-12-32.2341-4341-5221-24.3115.4525,POLLUX
AHGASANFCXEEWWIZ EBHMXBPSELPAZSMPTSBNKVYR PQSYW Y IGCJTCCGGAVZPSMHYBXGMOKFCOKXWZZUAFODEGIDTBHEKCNKWEAQWQGOIM PDYKQVJUBIHZQ GVLOWJUEVYPFUWQODXPUKQSTX,PROGRESSIVE_KEY
1454-43-42.6113-23.33-23.3241.25-22.12.32.3111-4355-61.21.35-45.2261.54-41-44.61.12-35.1215.34-3123-432541-1443-5142 45.53.554224-14-21. 6155-22-11-51.51.55.2111-5332552114-22.44.34-42-44.4534-3431-53-43.11-51-5523.4215-53-6151-55.23.1245-52-6112.24-44.5453-,POLLUX
PLDIIJFCVXHRWGDDZLLWQKOSLKBGGGBDGBMDRVLJCJECJGMSKEPUJWCPN QBINLPQIGJHVEGCLNRGWZXEVSSGW O TMCQSLKFXQYMY KD GHPC EDT,PROGRESSIVE_KEY
11-54-43-24-25.12-51-11453234.341252.32251535-114211.25.2431.613431-6161.421445.1115-41.414521-453354.44-55.5313-25.31.35.23-45-51.4421-32.33453321-5354-13-21-5223-532353. 43-24.35.24.52-11-4524.413244.4334-42-14.33.5335-,POLLUX
DDCXDECIK UOSCYKLZFPWRXFOQXNMQKTRUQYLVDCQWTAOCEMRED QSDWOUYVXZAW  BHRU  FYNZTP FRPASIAMPMWDWOMZEBNCC DFSWGUGXPVYWNRVUULCOLRZURFLYWSMSZHTEFBIZSM,PROGRESSIVE_KEY
31-15 32-31.15.14-53-13-2512.552423-55.61-2322-2231.55-32.22.54.235144.53.55-3341-3254.51-6142.61-23.53-52.31-24-51.44.32.43-54.2322-35.31.54-5541.244213.45-52.414215- 24-14.1332-13.42.42.124444-3324-14.41-14.31445144-12-34-3555.43-5433.12.22-23-6161.4421-34-25-51-42-,POLLUX
IIYRHVMPKGDHCAHJNSDSBDHN  HGYFQYRYXDOBZFJKKMCXNXZVEUVJBMODLSBKUPKTAXIKBMHMVXUOGLPOJZRKTDSEWXRXMPYLNP HISIDNGQE,PROGRESSIVE_KEY
122561.43-22.535412-25-44-44.23.45-52-41.345213.3461.513225.14-45-5454-3144-11-42-4322.13. 14-35111454.4213. 34.15-22.22-25223423-53-3552-21.4145-11-55-31-5115-4232-44.21.54-55-24.312134415255-22-42-33-33-31.2231-23-53.5125-24-52-24-1145-2312.33-31-54-51-25-,POLLUX
KEAFYVVREASUSKQJJUXVLRBOMFDFRFERMJKLHCOVQPMBQMUAKKEUJ OXULIPMQYDMHSIIUBSTRHMCIOSPTFPFUFLVHFJWCZIHYBZKQIUSJPPGYBQJUKKFWNPYJ,PROGRESSIVE_KEY
32.51.24.32-45-14- 22.22.44.11.13.311152-1522.61.54.15.15-44.2251.32.41-1531 34.44.2511.61-61.35.43-35- 34-5554-55.42.31-34.5544.15.61-3454-45-12.2324-35-13-51-55.12-1441-521534.31.2321.44-32-41533151-15-6114.33.43.43.35.51-6141.54-21-55.43-22 5512-2432.1423-25-1522,POLLUX
RMENTIUMRXMRAKXTFRIFJCS BWIYOHLBDBDNVIMYFFIMFYFPBB WXBZITHAJRTGU FJSXNFDEKZGQFEWQBJUULYMNIYSNIMRYWKZHZYXOOZJVL,PROGRESSIVE_KEY
3414-44-2324.12-3333.4513.3235-12-13-24.5452-151552-12.3331-32.15-34-14.24.21.44.155333.5435-21-12-45.34.25- 43.51-21-21.2334.45.14.44-4134-21-42.531113.5312.43-43- 455454.14.41- 6151-35-33.33-23-35-211445- 3345-43-42-53.553324-14-,POLLUX
J BTDYSXJITRWTJHA AEJFRZBLVTQD K MPI PQHMQXBNIFGPXCREEPJNBEF QOHKILQJDUCGHP MR BIAMYJWRFFBUADLJEMKECSTMQSJRBCP,PROGRESSIVE_KEY
45-5251.32-445421.3112.13.51.1245.34123555.54-5342-43.43. 61-53.23-25.41-14.5322.34.31.21-35-34. 1421-55-23.52-14-43-34.32-14-23.1235.34555543.34.1141-52442555.33.45-551551-43.12.61.43-43-43-51.15.53.25-43-442522-3121-35.41-13. 2411.451545-2542-31.5545.53-,POLLUX
UHZIPZFKDBPAQIRRFNYDIEZJM DMJAQIECIQNDPJKMUKFDOTLABZBPZAGTESSWYTNBCYYJBASAAC VLGYULNZIFSBEFSIQDTOOK Q BQUZXHQJAZBTFC,PROGRESSIVE_KEY
536132 15-11.21.51.44-54-3141.3411-25-24.32- 42.31.42.13.25.33-53 44-12.611122.5513-11-24.33.2515.5353.42.342422.51.15-55-43.13-54 53542344-3524.25-42.242134-31-61 5151. 52  3261.33.21-35-4121.61.53.2314.23.21.43-45.21.23.1353-52-,POLLUX
VEOSCHVCPVVJCPEPYIAPBWQAIZMJNLNUWARDHYUKWXAGBKHWJXWDKSCFYOLRMAPXKBYUWZPA CYFPHSWIJJFDDRGAUORGGFUGATD,PROGRESSIVE_KEY
22.23-45. 34-33.43.2425.31-3543.1111.15-13.45- 3443.4212-45. 135232.11.32-34.424232-12231161.3313.3244.3351-533432.54-61-1335. 316114-1225.35.3224-253555-31.33-55.3241.23.25-53-4315. 21.1343-21.3251.421553-14,POLLUX
GHWOBTZXCLDNPOZI GELRNAYDIRLQGWUIHTISEGZVMBLUTGNMM YBBYCKPFBSDSNGMVDLJIFVLOENBCNHEVKCGPQCBQGETPUSREPWWTS  KQ,PROGRESSIVE_KEY
22-23.34-34.11-545511.51-5233.53.55-45-23.32- 43.4525-42-61-34-14.55-53.133443-35.12-431461-22.3123-12-1444.4241-43.51.61-13-55-4451-55-33.13-333234.55.12-11.12.44.2335-22-61.55.2521-22-135151-31.54-14-13-25-61-25-3334.42-54-1315.41.5311- 23.5524-25-11-44-1254-44-24.,POLLUX
JNFMMQ BGWWXCEROPTDRIEIUJZFYFDNWQSRJVKKRFZELKUQCHLYEEIZILUAFXOTRRXGLUOIIXBVRXVVRZLYTFOYFSTAABTYYWR BJIET,PROGRESSIVE_KEY
51-3154-54.43.4115 51.11- 43.13-15.54-32.61.35.14-55-55.53.23-25.122455.61.13424514-31.5241-1514-55-61-52.55.4424-12.5261.32-25.33.21-4444.32-5343-33.5353.423533.33.2561.244335.21-35.51.41-24.24.2123.3414.11-55243335.451512-35-51-11.11442453531521.33.131441.,POLLUX
ASTKS LRZFUTNPSGTLYAOESEOVOONOSSYPAIRARZJZPEFQROPPUGAXEUUSFJGMUR T BYSIQWDDOHOYIAKQEAHPZWDSAAFTALPYD,PROGRESSIVE_KEY
32-51.23.53.12-12-11.1424.53.35.51-61.14-25.34-34.34-243133.14-22.5261.514521-23-2312-31 14-53-3511214244.45-41.25.523241.11-22.11-541222-42.1352-53-45.5123-12.34.1323.34-23.4121344114.35.52-61.2413-11-5224.1135-123533.45-13.4521.15,POLLUX
RCVVOERDEXZVKQYKCHMJQMAKYDWRY EOQTACZKCQGXWJMWARR ZCMXYUXECPNYKGHGNZAIQULZBHISJWMG HKZIVJJKSJCW HRDVNSWIHW ZBOKRQZWEIOQYBGWOSKLE,PROGRESSIVE_KEY
34.31.11.2322.524523-41.555444.1311-5113.41.55- 355441-61.2232-4424.4255-41.11-22.25-33-445243.13-25-54.11.41-52.1224.552555-5134-12.54.4541.34-55-3453 53.41-34-2352-24-11-61.15.3555.14-52.2452.44.24.54- 35.51.13-33.54.4213-5545.55-,POLLUX
LBPTCOSSGIGCVEX D IHEJEWBYZQYIIPVTEQASPZCZQFS LPZK GLDDSQAFGARRBIBVVASNALYABSFRRRFGRNOTSCOHUMQXMKPPEJMPVMSPHRKUEX,PROGRESSIVE_KEY
34-43.44.12-52-254161.31 61-2431.4412-34-2334-22.413141.55.42-41.1233.24-4522-24-53.1242.24- 25-54.54214445.55-14-4152.24.25-53-1525-13.24.55.2451315252-12.33413522.24111332.33434435.52-31.31.32.14.114233.,POLLUX
QUOXNLPVWTEGWQQFETJIHPARDCKOOTTIEIBQGLDEAJHSPJGBRXPFEMG ZB YJQGELBLZOYKVNDZJKDOITNC OLWRVLQUHMAOUAFDNTDN,PROGRESSIVE_KEY
3425-31.42-51.1432.14-22-23.15.22-32-55.32-23-35-13-14.523331.53.21.32-22.3351.15.243315.31.2435-54.2134-33533452.12.24.23.51-21.12.24-15.53 23-52.11.25-5515.1314. 23.24.13.332123.25-13-21-4251-44-2413-24.13.144244. 34.12-41.24-4322-2424.,POLLUX
BQSETQKIUBHWHXGZVVDQAFCLSVVIJBPVDXUPIBLPNXWACSBFLYTXFMURXBJGUCSVUTVNJNBALJVPVUBRIBAOBDPAZUWINJUUBTYJHL GVMPTLROVBRDKRZOY,PROGRESSIVE_KEY
